City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Sibolga,ID,2021-10-22 01:19:45,1.7427,98.7792,80.19,77,91,1.39
120,Bam,IR,2021-10-22 01:19:45,29.106,58.357,63.91,34,0,12.84
121,Macas,EC,2021-10-22 01:19:45,-2.3167,-78.1167,67.87,97,60,2.48
122,Hobart,AU,2021-10-22 01:19:10,-42.8794,147.3294,69.03,64,75,4.0
123,Sitka,US,2021-10-22 01:21:49,57.0531,-135.33,53.49,58,90,17.27
124,Ivankiv,UA,2021-10-22 01:19:46,50.9386,29.8943,61.03,61,100,14.29
125,Leningradskiy,RU,2021-10-22 01:23:41,69.3833,178.4167,9.88,87,80,13.76
126,Provideniya,RU,2021-10-22 01:23:41,64.3833,-173.3,28.51,59,0,8.95
127,Arraial Do Cabo,BR,2021-10-22 01:23:41,-22.9661,-42.0278,64.36,88,75,0.0
128,Harper,LR,2021-10-22 01:23:42,4.375,-7.7169,77.32,87,100,6.26
129,Rio Verde De Mato Grosso,BR,2021-10-22 01:19:47,-18.9181,-54.8442,78.62,52,5,4.97
130,Busselton,AU,2021-10-22 01:22:20,-33.65,115.3333,61.05,55,7,3.27
131,Vao,NC,2021-10-22 01:19:47,-22.6667,167.4833,72.63,78,86,11.27
132,Olinda,BR,2021-10-22 01:19:48,-8.0089,-34.8553,82.13,69,40,6.91
133,Port Blair,IN,2021-10-22 01:23:43,11.6667,92.75,80.65,81,100,1.83
134,Victoria,HK,2021-10-22 01:20:08,22.2855,114.1577,68.25,82,100,1.01
135,Davila,PH,2021-10-22 01:23:43,18.4726,120.5763,85.98,71,23,15.41
136,Hachinohe,JP,2021-10-22 01:19:49,40.5,141.5,57.81,49,9,4.45
137,Chimbote,PE,2021-10-22 01:19:49,-9.0853,-78.5783,63.25,88,51,7.9
138,Souillac,MU,2021-10-22 01:22:07,-20.5167,57.5167,74.35,94,40,10.36
139,Cabo San Lucas,MX,2021-10-22 01:22:25,22.8909,-109.9124,81.7,79,1,7.0
140,Ribeira Grande,PT,2021-10-22 01:23:44,38.5167,-28.7,68.92,71,35,12.26
141,Tilichiki,RU,2021-10-22 01:19:50,60.4667,166.1,13.84,79,16,5.14
142,Milkovo,RU,2021-10-22 01:19:50,54.7167,158.6167,30.63,52,8,5.64
143,Bethel,US,2021-10-22 01:21:19,41.3712,-73.414,64.76,88,1,10.36
144,Westport,US,2021-10-22 01:23:45,41.1415,-73.3579,67.75,89,1,11.99
145,Praia Da Vitoria,PT,2021-10-22 01:19:51,38.7333,-27.0667,67.75,88,40,7.61
146,Zhigansk,RU,2021-10-22 01:23:45,66.7697,123.3711,24.35,86,98,13.94
147,Ihosy,MG,2021-10-22 01:19:51,-22.4,46.1167,63.18,87,32,3.24
148,Lanja,IN,2021-10-22 01:19:51,16.85,73.55,70.0,66,96,4.29
149,Mayo,US,2021-10-22 01:19:52,38.8876,-76.5119,71.58,72,1,4.0
150,Sao Jose Da Coroa Grande,BR,2021-10-22 01:19:52,-8.8978,-35.1478,77.88,86,99,9.22
151,Avera,US,2021-10-22 01:23:46,33.194,-82.5271,70.72,72,48,5.46
152,Bilibino,RU,2021-10-22 01:19:52,68.0546,166.4372,1.44,94,100,3.18
153,Morondava,MG,2021-10-22 01:23:46,-20.2833,44.2833,68.65,81,2,7.0
154,Sungaipenuh,ID,2021-10-22 01:19:53,-2.0833,101.3833,71.24,81,57,0.87
155,Boa Vista,BR,2021-10-22 01:18:03,2.8197,-60.6733,78.78,83,40,3.44
156,Dikson,RU,2021-10-22 01:23:47,73.5069,80.5464,22.98,73,100,10.11
157,Coahuayana,MX,2021-10-22 01:19:54,18.7333,-103.6833,83.68,85,54,1.48
158,Cayenne,GF,2021-10-22 01:23:48,4.9333,-52.3333,82.09,84,75,5.01
159,Coquimbo,CL,2021-10-22 01:19:54,-29.9533,-71.3436,55.13,82,0,5.75
160,Agirish,RU,2021-10-22 01:19:55,61.9247,63.0231,29.55,73,100,9.62
161,Rantepao,ID,2021-10-22 01:19:55,-2.9701,119.8978,75.33,73,100,1.05
162,Kapuskasing,CA,2021-10-22 01:19:55,49.4169,-82.4331,33.8,80,90,4.61
163,Severodvinsk,RU,2021-10-22 01:19:56,64.5635,39.8302,33.91,97,96,0.98
164,Airai,TL,2021-10-22 01:23:49,-8.9266,125.4092,78.75,38,79,1.3
165,Kulhudhuffushi,MV,2021-10-22 01:19:56,6.6221,73.07,80.89,79,64,5.41
166,Grindavik,IS,2021-10-22 01:22:05,63.8424,-22.4338,39.67,56,75,8.05
167,Sorland,NO,2021-10-22 01:19:57,67.667,12.6934,38.7,74,100,24.83
168,Husavik,IS,2021-10-22 01:23:49,66.0449,-17.3389,28.31,75,100,2.59
169,Peniche,PT,2021-10-22 01:19:57,39.3558,-9.3811,61.61,82,0,20.67
170,Smithers,CA,2021-10-22 01:15:09,54.7804,-127.1743,42.33,94,100,2.17
171,Ampanihy,MG,2021-10-22 01:19:58,-24.7,44.75,57.67,91,0,4.56
172,Jetafe,PH,2021-10-22 01:19:58,10.1472,124.1539,86.0,76,83,7.07
173,Lorengau,PG,2021-10-22 01:23:50,-2.0226,147.2712,79.09,81,100,5.39
174,Pampa,US,2021-10-22 01:16:19,35.5362,-100.9599,68.95,55,1,8.05
175,High Level,CA,2021-10-22 01:20:00,58.5169,-117.136,42.91,56,1,3.44
176,Alpena,US,2021-10-22 01:20:01,45.0617,-83.4327,45.1,76,90,7.0
177,Bathsheba,BB,2021-10-22 01:23:08,13.2167,-59.5167,83.01,74,40,25.32
178,Carutapera,BR,2021-10-22 01:20:02,-1.195,-46.02,77.54,89,67,5.1
179,Cam Ranh,VN,2021-10-22 01:20:02,11.9214,109.1591,82.36,74,40,2.3
180,Faanui,PF,2021-10-22 01:20:03,-16.4833,-151.75,79.74,72,4,8.32
181,Monrovia,LR,2021-10-22 01:20:04,6.3005,-10.7969,77.38,87,100,4.59
182,Atbasar,KZ,2021-10-22 01:23:52,51.8,68.3333,31.48,66,100,13.69
183,Mizdah,LY,2021-10-22 01:20:05,31.4451,12.9801,62.1,69,36,9.37
184,Adre,TD,2021-10-22 01:20:05,13.4667,22.2,75.9,26,100,7.18
185,Thompson,CA,2021-10-22 01:23:32,55.7435,-97.8558,30.36,93,90,5.75
186,Pisco,PE,2021-10-22 01:23:52,-13.7,-76.2167,61.02,82,0,12.66
187,East London,ZA,2021-10-22 01:22:41,-33.0153,27.9116,68.05,87,99,3.29
188,Bengkulu,ID,2021-10-22 01:23:31,-3.8004,102.2655,77.54,86,100,1.16
189,Ola,RU,2021-10-22 01:20:06,59.5833,151.2833,18.91,32,0,3.78
190,Upernavik,GL,2021-10-22 01:18:10,72.7868,-56.1549,21.78,93,100,7.96
191,Port Macquarie,AU,2021-10-22 01:16:51,-31.4333,152.9167,75.88,66,7,6.89
192,Mackenzie,CA,2021-10-22 01:20:07,55.2999,-123.1698,43.02,93,75,0.0
193,Richards Bay,ZA,2021-10-22 01:23:53,-28.783,32.0377,67.77,85,100,16.46
194,Polunochnoye,RU,2021-10-22 01:23:54,60.8697,60.4153,28.65,95,100,7.49
195,Isangel,VU,2021-10-22 01:22:58,-19.55,169.2667,82.51,69,75,4.61
196,Waingapu,ID,2021-10-22 01:22:22,-9.6567,120.2641,86.09,58,69,3.76
197,Sechura,PE,2021-10-22 01:20:08,-5.5569,-80.8222,68.13,76,55,13.94
198,Tuatapere,NZ,2021-10-22 01:20:09,-46.1333,167.6833,63.18,45,0,3.8
199,Charagua,BO,2021-10-22 01:20:09,-19.8,-63.2167,76.84,42,24,2.91
200,Codrington,AU,2021-10-22 01:23:55,-38.2667,141.9667,63.59,75,75,8.75
201,Namibe,AO,2021-10-22 01:20:09,-15.1961,12.1522,64.62,71,50,8.41
202,Mezen,RU,2021-10-22 01:20:10,65.8522,44.24,28.15,98,95,5.23
203,Chenghai,CN,2021-10-22 01:20:10,23.4632,116.768,64.31,82,90,6.71
204,Nimbahera,IN,2021-10-22 01:20:10,24.6167,74.6833,67.35,58,0,2.95
205,Rexburg,US,2021-10-22 01:20:11,43.826,-111.7897,56.71,44,1,0.0
206,Bairiki,KI,2021-10-22 01:23:56,1.3292,172.9752,86.0,70,40,6.91
207,Namatanai,PG,2021-10-22 01:20:11,-3.6667,152.4333,84.04,71,100,5.55
208,Mount Isa,AU,2021-10-22 01:23:56,-20.7333,139.5,94.77,28,0,9.22
209,Bardiyah,LY,2021-10-22 01:20:12,31.7561,25.0865,66.45,65,0,6.02
210,Anloga,GH,2021-10-22 01:20:12,5.7947,0.8973,79.81,85,99,9.69
211,Berlevag,NO,2021-10-22 01:23:57,70.8578,29.0864,35.35,54,100,23.8
212,Jieshi,CN,2021-10-22 01:20:13,22.8134,115.8257,64.94,80,100,11.99
213,Matola,MZ,2021-10-22 01:20:13,-25.9622,32.4589,67.26,73,100,5.97
214,Ilulissat,GL,2021-10-22 01:20:13,69.2167,-51.1,30.22,64,40,16.11
215,Risod,IN,2021-10-22 01:20:14,19.9667,76.7833,66.6,63,6,1.32
216,Kokopo,PG,2021-10-22 01:20:14,-4.352,152.2633,83.55,69,100,4.03
217,Nouadhibou,MR,2021-10-22 01:23:58,20.931,-17.0347,71.91,67,91,14.09
218,Kirakira,SB,2021-10-22 01:20:15,-10.4544,161.9205,84.33,72,100,7.58
219,Awbari,LY,2021-10-22 01:20:15,26.5921,12.7805,76.33,30,100,16.93
220,Labuhan,ID,2021-10-22 01:23:59,-6.8844,112.2051,83.55,70,100,6.02
